#,H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad),H(m),Lat(rad),Long(rad)
C1,30,0.655951979784584,2.21450918540338,30,0.65594883819193,2.21451407232528,30,0.655955295910163,2.21451354872651,30,0.655954423245537,2.21450360034977,30,0.655949361790706,2.21450412394854
C2,30,0.655981650381872,2.21455177143713,30,0.655978159723367,2.21455438943101,30,0.655984093842825,2.21455404036516,30,0.655979206920919,2.21454793171277,30,0,0
C3,30,0.65592143652267,2.21456067261632,30,0.655918993061717,2.2145639887419,30,0.655924054516548,2.21456294154434,30,0.655923705450698,2.21455805462244,30,0.655919167594642,2.21455735649074
C4,30,0.655943253138323,2.21458196563319,30,0.655941856874921,2.21458528175877,30,0.655946569263902,2.2145840600283,30,0.655944125802949,2.21457847497469,30,0.655941507809071,2.21458022030394
C5,30,0.655957739371116,2.21459732453061,30,0.65595686670649,2.21460011705742,30,0.655959310167443,2.21459453200381,30,0,0,30,0,0
C6,30,0.655891591392457,2.21461093809878,30,0.65588967153028,2.21461268342803,30,0.655894383919261,2.21461355609266,30,0.655893336721709,2.21460814557198,30,0.655888624332728,2.21460814557198
C7,30,0.655917596798315,2.21463746710341,30,0.655919342127567,2.21463851430097,30,0.655918643995866,2.21463537270831,30,0.655915851469063,2.21463519817539,30,0,0
C8,30,0.655932606629884,2.21465230240206,30,0.655931559432333,2.21465492039594,30,0.655933828360361,2.21464968440818,30,0.655930512234782,2.21465055707281,30,0,0
C9,30,0.655825094347947,2.21461966474504,30,0.65582352355162,2.21462228273892,30,0.655827712341826,2.21462228273892,30,0.655827712341826,2.21461669768531,30,0.655823349018695,2.21461739581701
C10,30,0.655863840657347,2.21465876012029,30,0.655860699064693,2.21466312344342,30,0.655867680381702,2.21466242531172,30,0.655865760519524,2.21465492039594,30,0.655859826400067,2.21465492039594
C11,30,0.655904681361849,2.21470029895649,30,0.655902237900896,2.21470413868085,30,0.655906252158176,2.21469872816017,30,0.655902237900896,2.21469768096262,30,0,0
C12,30,0.655805895726173,2.2146498589411,30,0.65580380133107,2.21465282600083,30,0.655808339187126,2.21465195333621,30,0.655807641055425,2.21464689188138,30,0.655803975863996,2.21464759001308
C13,30,0.655845165634348,2.21468965244806,30,0.655842722173395,2.21469366670534,30,0.655848132694077,2.21469209590901,30,0.655848132694077,2.21468476552615,30,0.655842024041694,2.2146865108554
C14,30,0.655884610075448,2.21472962048793,30,0.655883562877897,2.21473258754766,30,0.655886529937626,2.21472770062575,30,0.655882864746196,2.21472647889528,30,0,0
C15,30,0.655820207426041,2.21473084221841,30,0.65581916022849,2.21473380927814,30,0.655822476354069,2.21472839875745,30,0.655818113030939,2.21472909688916,30,0,0
C16,30,0.655794376553108,2.21477709344359,30,0.655792456690931,2.21478040956917,30,0.655796645481136,2.21477953690454,30,0.655795947349435,2.21477360278509,30,0,0
C17,30,0.655806244792023,2.21479000888006,30,0.655804673995697,2.21479192874224,30,0.655807990121276,2.21479140514346,30,0.655805023061547,2.21478843808373,30,0,0
C18,30,0.655816367701686,2.2148006553885,30,0.65581514597121,2.21480240071775,30,0.655817763965088,2.21480187711897,30,0.655817589432163,2.21479908459217,30,0.65581514597121,2.21479908459217
C19,30,0.655828759539377,2.21481391989081,30,0.655827537808901,2.21481618881884,30,0.655830679401555,2.21481147642986,30,0.655827537808901,2.21481200002864,30,0,0
C20,30,0.655779366721539,2.2148020516519,30,0.655776923260586,2.21480589137625,30,0.655782159248343,2.21480519324455,30,0.655783555511745,2.21479646659829,30,0.655775177931334,2.21479856099339
C21,30,0.655800995453593,2.21479052209868,30,0.655799250161071,2.21479174380345,30,0.655798028456305,2.21479366362522,30,0.655797504868547,2.21479017304017,30,0,0
